노선명,역사명,역위도,역경도,철도운영기관명,데이터기준일자
김포골드라인,양촌역,37.641730,126.614720,김포골드라인,20260609
김포골드라인,구래역,37.645330,126.628800,김포골드라인,20260609
김포골드라인,마산역,37.640621,126.643496,김포골드라인,20260609
김포골드라인,장기역,37.644165,126.669190,김포골드라인,20260609
김포골드라인,운양역,37.653785,126.683860,김포골드라인,20260609
김포골드라인,걸포북변역,37.631631,126.705789,김포골드라인,20260609
김포골드라인,사우역,37.620260,126.719660,김포골드라인,20260609
김포골드라인,풍무역,37.612292,126.732716,김포골드라인,20260609
김포골드라인,고촌역,37.601407,126.770225,김포골드라인,20260609
김포골드라인,김포공항역,37.562452,126.801603,김포골드라인,20260609
