호선,역명,휠체어리프트(대),엘리베이터(대),에스컬레이터(대),핸드레일(미터),전용개찰구(개소),출입구 엘리베이터 경사로(개소),장애인화장실(개소),장애인픽토그램(개),공중전화(대),점형블록(미터),선형블록(미터),핸드레일점자표지(개),화장실점자표지(개소),점자노선도(개),음성유도기(개)
01,설화명곡,0,4,16,632.7,3,0,4,4,1,542.1,626.3,44,0,4,33
01,화원,0,4,10,289.1,1,0,2,3,1,626.3,417.45,28,2,4,28
01,대 곡,0,2,2,230,2,2,2,2,1,430,480,44,2,4,22
01,진 천,0,4,2,385.4,2,3,2,3,1,369,443.2,20,4,4,19
01,월 배,0,4,2,384.2,2,2,2,3,1,370,439.5,24,4,4,18
01,상 인,0,4,3,591.8,2,1,2,3,1,411,434.4,54,4,4,25
01,월 촌,0,4,4,365,1,0,2,3,1,434.9,464.2,42,4,4,32
01,송 현,0,4,12,268.9,1,1,2,3,1,455.1,681.9,58,4,4,31
01,서부정류장,0,3,0,190.8,1,1,2,3,1,445,454.1,47,4,4,22
01,대 명,0,4,2,217,2,3,2,3,1,382,413,33,4,4,19
01,안지랑,0,4,4,272.65,2,3,2,3,1,407,407.1,34,2,4,19
01,현충로,0,4,4,263.31,2,2,2,3,1,373,457.1,26,4,4,21
01,영대병원,0,3,2,205.11,4,1,2,3,1,379,372.4,24,3,4,18
01,교 대,0,4,12,265.77,1,2,2,3,1,407.8,457,32,4,4,29
01,명 덕1,0,3,6,274.32,1,2,2,3,1,413.4,452.9,41,4,4,13
01,반월당1,0,4,8,352.8,2,3,2,3,1,412,565.1,45,4,4,28
01,중앙로,3,4,0,626.3,2,0,4,8,1,555.2,976.7,85,4,8,36
01,대구역,0,2,18,301.82,2,2,4,3,1,450.4,640,50,6,4,26
01,칠성시장,0,3,8,315.07,2,4,2,4,1,381.9,557.7,38,4,4,28
01,신 천,0,4,2,505.62,2,0,2,3,1,385.1,431.1,44,4,4,26
01,동대구,0,4,17,364.73,2,2,2,3,1,408.6,578.23,36,6,4,34
01,동구청,0,4,0,217.87,2,2,2,3,1,364.6,418.4,24,4,4,18
01,아양교,0,3,8,389.43,2,2,2,4,1,429.2,916.1,64,4,4,15
01,동 촌,0,3,8,402.19,2,3,2,3,1,456.2,967,60,4,4,30
01,해 안,0,4,6,255.7,2,2,2,3,1,446.2,515,30,4,4,28
01,방 촌,0,4,2,206.18,2,1,2,3,1,365.2,417.2,24,4,4,21
01,용 계,0,3,2,224.7,2,0,2,3,1,366.2,409.4,26,4,4,17
01,율 하,0,5,4,227.8,1,4,2,3,1,389.7,466.7,22,4,4,30
01,신 기,0,4,8,205.7,1,2,2,3,1,374.8,405.2,32,4,4,23
01,반야월,0,4,4,220.5,1,1,2,3,1,361.6,400.8,26,4,4,26
01,각 산,0,4,4,218.9,2,1,2,3,1,366.2,399.2,26,4,4,20
01,안 심,0,3,0,375.2,2,2,2,3,1,378.6,437.4,28,4,2,17
01,대구한의대병원,0,3,6,286.56,1,0,2,3,0,196.8,147.6,16,2,4,25
01,부호,0,2,4,70,1,0,2,2,0,157.2,98.1,16,4,4,18
01,하양,0,2,4,74.2,1,0,2,2,0,144.3,97.8,16,3,4,22
02,문 양,0,2,4,454.8,1,0,2,2,1,555,470.1,24,4,3,3
02,다 사,0,4,6,628,1,2,2,2,1,195.3,462.6,28,4,5,5
02,대 실,0,4,7,805.6,1,2,2,2,1,242.7,582.9,36,6,5,5
02,강 창,0,4,8,1428.6,2,2,2,2,1,734.4,814.8,60,4,5,7
02,계명대,0,4,12,1294.2,2,2,2,2,1,681.3,741,54,4,5,8
02,성서산업단지,0,2,10,936.84,1,1,2,2,1,592.8,612.9,44,6,3,9
02,이 곡,0,2,12,685.49,1,1,2,2,1,531.3,515.49,40,6,3,7
02,용 산,0,3,8,667,1,2,2,2,1,966.3,959.1,87,4,5,8
02,죽 전,0,4,12,789.4,1,5,2,2,1,502,651.9,39,4,3,11
02,감 삼,0,3,7,385.96,1,2,2,2,1,562.5,511.8,36,4,3,5
02,두 류,0,1,4,216.64,1,0,2,2,1,471,417.3,30,4,3,5
