철도운영기관명,선명,역명,상하행구분,출입구번호,상세위치,시작층,종료층
대전교통공사,1호선,용문,상행,7,(B1) 대합실 ,지하(1),지상(1)
대전교통공사,1호선,용문,상행,내부,(B2) 오룡역 방향 승강장 2-4 출입문 근처 ,지하(2),지하(1)
대전교통공사,1호선,용문,상행,내부,(B1) 대합실 ,지하(2),지하(1)
대전교통공사,1호선,탄방,상행,4,(B1) 대합실 ,지하(1),지상(1)
대전교통공사,1호선,탄방,상행,내부,(B2) 용문역 방향 승강장 3-3 출입문 근처 ,지하(2),지하(1)
대전교통공사,1호선,탄방,상행,내부,(B1) 대합실 ,지하(2),지하(1)
대전교통공사,1호선,시청,하행,2,(지상) 2번 출입구 앞,지상(1),지하(1)
대전교통공사,1호선,시청,상행,2,(B1) 대합실 ,지하(1),지상(1)
대전교통공사,1호선,시청,상행,4,(B1) 대합실 ,지하(1),지상(1)
대전교통공사,1호선,시청,상행,6,(B1) 대합실 ,지하(1),지상(1)
대전교통공사,1호선,시청,상행,8,(B1) 대합실 ,지하(1),지상(1)
대전교통공사,1호선,시청,상행,내부,(B2) 용문역 방향 승강장 2-3 출입문 근처 ,지하(2),지하(1)
대전교통공사,1호선,시청,상행,내부,(B2) 정부청사역 방향 승강장 5-3 출입문 근처 ,지하(2),지하(1)
대전교통공사,1호선,판암(대전대),상행,1,(B1) 1번 출입구 방향,지하(1),지상(1)
대전교통공사,1호선,판암(대전대),상행,3,(B1) 3번 출입구 방향,지하(1),지상(1)
대전교통공사,1호선,신흥,상행,2,(B1) 2번 출입구 방향,지하(1),지상(1)
대전교통공사,1호선,신흥,상행,4,(B1) 4번 출입구 방향,지하(1),지상(1)
대전교통공사,1호선,신흥,상행,01월 02일,(B2) 대합실,지하(2),지하(1)
대전교통공사,1호선,신흥,하행,내부,(B1) 3번/4번 출입구 방향,지하(1),지하(2)
대전교통공사,1호선,신흥,상행,내부,(B3) 판암역 방향 승강장 4-4 출입문 근처 ,지하(3),지하(2)
대전교통공사,1호선,신흥,하행,내부,(B2) 대합실,지하(2),지하(3)
대전교통공사,1호선,대동(우송대),상행,2,(B1) 2번 출입구 방향,지하(1),지상(1)
대전교통공사,1호선,대동(우송대),상행,3,(B1) 3번 출입구 방향,지하(1),지상(1)
대전교통공사,1호선,대동(우송대),상행,6,(B1) 6번 출입구 방향,지하(1),지상(1)
대전교통공사,1호선,대동(우송대),상행,7,(B1) 7번 출입구 방향,지하(1),지상(1)
대전교통공사,1호선,대동(우송대),하행,1~4,(B1) 1번~4번출입구 근처,지상(1),지하(1)
대전교통공사,1호선,대동(우송대),상행,1~4,(B1) 대합실,지하(1),지상(1)
대전교통공사,1호선,대동(우송대),하행,5~8,(B1) 5번~8번 출입구 근처,지상(1),지하(1)
대전교통공사,1호선,대동(우송대),상행,5~8,(B1) 대합실,지하(1),지상(1)
대전교통공사,1호선,대동(우송대),상행,내부,(B2) 신흥역 방향 대합실,지하(2),지하(1)
대전교통공사,1호선,대동(우송대),하행,내부,(B1) 개찰구 옆,지하(1),지하(2)
대전교통공사,1호선,대동(우송대),하행,내부,(B2) 대합실,지하(2),지하(3)
대전교통공사,1호선,대동(우송대),상행,내부,(B3) 대전역 방향 승강장 2-2 출입문 근처 ,지하(3),지하(2)
대전교통공사,1호선,대동(우송대),하행,내부,(B2) 대합실,지하(2),지하(3)
대전교통공사,1호선,대동(우송대),상행,내부,(B3) 신흥역 방향 승강장 3-2 출입문 근처 ,지하(3),지하(2)
대전교통공사,1호선,대전,하행,1,(지상)1번 출구 앞,지상(1),지하(1)
대전교통공사,1호선,대전,상행,1,(B1) 1번 출입구 앞,지하(1),지상(1)
대전교통공사,1호선,대전,하행,3,(지상) 3번 출구 앞,지상(1),지하(1)
대전교통공사,1호선,대전,상행,3,(B1) 3번 출입구 앞,지하(1),지상(1)
대전교통공사,1호선,대전,하행,4,(지상) 4번 출구 앞,지상(1),지하(1)
대전교통공사,1호선,월드컵경기장(노은도매시장),하행,7,(지상) 7번 출입구 앞,지상(1),지하(1)
대전교통공사,1호선,월드컵경기장(노은도매시장),상행,7,(B1) 대합실 ,지하(1),지상(1)
대전교통공사,1호선,월드컵경기장(노은도매시장),하행,내부,(B1) 대합실 ,지하(1),지하(2)
대전교통공사,1호선,월드컵경기장(노은도매시장),상행,내부,(B2) 현충원역 방향 승강장 3-3 출입문 근처 ,지하(2),지하(1)
대전교통공사,1호선,월드컵경기장(노은도매시장),하행,내부,(B1) 대합실 ,지하(1),지하(2)
대전교통공사,1호선,월드컵경기장(노은도매시장),상행,내부,(B2) 현충원역 방향 승강장 4-2 출입문 근처 ,지하(2),지하(1)
대전교통공사,1호선,월드컵경기장(노은도매시장),하행,내부,(B1) 대합실 ,지하(1),지하(2)
대전교통공사,1호선,월드컵경기장(노은도매시장),상행,내부,(B2) 노은역 방향 승강장 4-2 출입문 근처 ,지하(2),지하(1)
대전교통공사,1호선,월드컵경기장(노은도매시장),하행,내부,(B1) 대합실 ,지하(1),지하(2)
대전교통공사,1호선,월드컵경기장(노은도매시장),상행,내부,(B2) 노은역 방향 승강장 3-2 출입문 근처 ,지하(2),지하(1)
대전교통공사,1호선,노은,상행,2,(B1) 대합실 ,지하(1),지상(1)
대전교통공사,1호선,노은,상행,4,(B1) 대합실 ,지하(1),지상(1)
대전교통공사,1호선,노은,상행,내부,(B2) 월드컵경기장역 방향 승강장 3-3 출입문 근처 ,지하(2),지하(1)
대전교통공사,1호선,대전,상행,4,(B1) 4번 출입구 앞,지하(1),지상(1)
대전교통공사,1호선,대전,상행,내부,(B3) 1번 출입구 방향 대합실,지하(3),지하(1)
대전교통공사,1호선,대전,하행,내부,(B1) 1번 출입구 방향 대합실,지하(1),지하(3)
대전교통공사,1호선,대전,상행,내부,(B3) 3번/4번 출입구 방향 대합실,지하(3),지하(1)
대전교통공사,1호선,대전,하행,내부,(B1) 3번/4번 출입구 방향 대합실,지하(1),지하(3)
대전교통공사,1호선,대전,상행,내부,(B3) 대전역 방향 승강장 3-3 출입문 근처 ,지하(5),지하(3)
대전교통공사,1호선,대전,하행,내부,(B3) 대합실,지하(3),지하(4)
대전교통공사,1호선,대전,상행,내부,(B4) 대합실,지하(4),지하(3)
대전교통공사,1호선,대전,하행,내부,(B3) 대합실,지하(3),지하(5)
대전교통공사,1호선,대전,하행,내부,(B4) 대합실,지하(4),지하(5)
대전교통공사,1호선,대전,하행,내부,(B5) 중앙로역 방향 승강장 2-3 출입문 근처 ,지하(5),지하(4)
대전교통공사,1호선,중앙로,상행,내부,(B1) 대합실,지하(1),지하(1)
대전교통공사,1호선,중앙로,상행,내부,(B1) 대합실,지하(1),지하(1)
대전교통공사,1호선,중앙로,상행,내부,(B3) 대합실,지하(3),지하(1)
대전교통공사,1호선,중앙로,하행,내부,(B1) 대합실,지하(1),지하(3)
대전교통공사,1호선,중앙로,상행,내부,(B5) 대전역 방향 승강장 3-3 출입문 근처 ,지하(5),지하(3)
대전교통공사,1호선,중앙로,하행,내부,(B3) 대합실,지하(3),지하(5)
대전교통공사,1호선,중앙로,상행,내부,(B5) 중구청역 방향 승강장 4-2 출입문 근처 ,지하(5),지하(3)
대전교통공사,1호선,중앙로,하행,내부,(B3) 대합실,지하(3),지하(5)
대전교통공사,1호선,중구청,하행,내부,(B2) 대합실,지하(2),지하(4)
대전교통공사,1호선,중구청,상행,내부,(B4) 중앙로역 방향 대합실,지하(4),지하(2)
대전교통공사,1호선,중구청,하행,내부,(B2) 대합실,지하(2),지하(4)
대전교통공사,1호선,중구청,상행,내부,(B4) 서대전네거리역 방향 대합실,지하(4),지하(2)
대전교통공사,1호선,중구청,상행,내부,(B5) 중앙로역 방향 승강장 2-1 출입문 근처 ,지하(5),지하(4)
대전교통공사,1호선,중구청,상행,내부,(B5) 서대전네거리역 방향 승강장 2-1 출입문 근처 ,지하(5),지하(4)
대전교통공사,1호선,서대전네거리,상행,2,(B1) 2번 출입구 방향 대합실,지하(1),지상(1)
대전교통공사,1호선,서대전네거리,상행,4,(B1) 4번 출입구 방향 대합실,지하(1),지상(1)
대전교통공사,1호선,서대전네거리,상행,6,(B1) 6번 출입구 방향 대합실,지하(1),지상(1)
대전교통공사,1호선,서대전네거리,상행,07월 08일,(B1) 7번/8번 출입구 방향 대합실,지하(1),지상(1)
대전교통공사,1호선,서대전네거리,상행,"1,2",(B1) 1번/2번 출입구 방향 대합실,지하(1),지하(1)
대전교통공사,1호선,서대전네거리,상행,내부,(B2) 7번/8번 출입구 방향 대합실,지하(2),지하(1)
대전교통공사,1호선,서대전네거리,하행,내부,(B1) 7번/8번 출입구 방향 대합실,지하(1),지하(2)
대전교통공사,1호선,서대전네거리,상행,내부,(B2) 3번/4번 출입구 방향 대합실,지하(2),지하(1)
대전교통공사,1호선,서대전네거리,하행,내부,(B1) 3번/4번 출입구 방향 대합실,지하(1),지하(2)
대전교통공사,1호선,서대전네거리,상행,내부,(B4) 오룡역 방향 승강장 2-4 출입문 근처 ,지하(4),지하(2)
대전교통공사,1호선,서대전네거리,하행,내부,(B2) 대합실 ,지하(2),지하(4)
대전교통공사,1호선,서대전네거리,상행,내부,(B4) 중구청역 방향 승강장 1-4 출입문 근처 ,지하(4),지하(3)
대전교통공사,1호선,서대전네거리,하행,내부,(B3) 대합실 ,지하(3),지하(4)
대전교통공사,1호선,오룡,하행,"1,2",(지상)1번/2번 출구 앞,지상(1),지하(1)
대전교통공사,1호선,오룡,상행,"1,2",(B1) 대합실 ,지하(1),지상(1)
대전교통공사,1호선,오룡,하행,"3,4",(지상)3번/4번 출구 앞,지상(1),지하(1)
대전교통공사,1호선,오룡,상행,"3,4",(B1) 대합실 ,지하(1),지상(1)
대전교통공사,1호선,오룡,하행,"5,6",(지상)5번/6번 출구 앞,지상(1),지하(1)
대전교통공사,1호선,오룡,상행,"5,6",(B1) 대합실 ,지하(1),지상(1)
대전교통공사,1호선,오룡,하행,"7,8",(지상)7번/8번 출구 앞,지상(1),지하(1)
대전교통공사,1호선,오룡,상행,"7,8",(B1) 대합실 ,지하(1),지상(1)
대전교통공사,1호선,오룡,상행,내부,(B2) 서대전네거리역 방향 승강장 4-2 출입문 근처 ,지하(2),지하(1)
대전교통공사,1호선,오룡,상행,내부,(B1) 대합실 ,지하(2),지하(1)
