철도운영기관명,선명,역명,출입구번호,상세위치,정원_인원,정원_중량
대전교통공사,1호선,갈마,내부,(B1) 표내는곳 내 대합실(B2) 월평역 방향 승강장 4-1 출입문 앞,11,750
대전교통공사,1호선,월평(한국과학기술원),1 2,(1F) 1번/2번 출입구 근처(B1) 대합실 1번/2번 출입구 방향,15,1000
대전교통공사,1호선,월평(한국과학기술원),3 4,(1F) 3번/4번 출입구 근처(B1) 대합실 3번/4번 출입구 방향,15,1000
대전교통공사,1호선,월평(한국과학기술원),내부,(B1) 표내는곳 내 대합실(B2) 구암역 방향 승강장 4-1 출입문 앞,15,1000
대전교통공사,1호선,월평(한국과학기술원),내부,(B1) 표내는곳 내 대합실(B2) 갑천역 방향 승강장 3-4 출입문 앞,15,1000
대전교통공사,1호선,갑천,1 2,(1F) 1번/2번 출입구 근처(B1) 대합실 1번/2번 출입구 방향,15,1000
대전교통공사,1호선,갑천,3,(1F) 3번 출입구 근처(B1) 대합실 3번 출입구 방향,15,1000
대전교통공사,1호선,갑천,내부,(B1) 표내는곳 내 대합실(B2) 월평역 방향 승강장 4-1 출입문 앞,15,1000
대전교통공사,1호선,갑천,내부,(B1) 표내는곳 내 대합실(B2) 유성온천역 방향 승강장 3-4 출입문 앞,15,1000
대전교통공사,1호선,유성온천(충남대.목원대),1 2,(1F) 1번/2번 출입구 근처(B1) 대합실 1번/2번 출입구 방향,15,1000
대전교통공사,1호선,유성온천(충남대.목원대),5 6,(1F) 5번 출입구 근처(B1) 대합실 5번/6번 출입구 방향,15,1000
대전교통공사,1호선,유성온천(충남대.목원대),내부,(B1) 표내는곳 내 대합실(B2) 갑천역 방향 승강장 3-4 출입문 앞,15,1000
대전교통공사,1호선,반석(칠성대),3 4,(1F) 3번/4번 출입구 옆(B1) 대합실 3번/4번 출입구 방향,15,1000
대전교통공사,1호선,반석(칠성대),내부,(B1) 표내는곳 내 대합실(B2) 지족역 방향 승강장 3-4 출입문 앞,15,1000
대전교통공사,1호선,반석(칠성대),내부,(B1) 표내는곳 내 대합실(B2) 승강장 4-1 출입문 앞,15,1000
