역번호,역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자
101,판암,S3001,대전 도시철도 1호선,Panam,板岩,일반역,,,36.316896,127.458264,대전교통공사,대전광역시 동구 옥천로 지하162 (판암동),042-539-3601,2026-06-25
102,신흥,S3001,대전 도시철도 1호선,Sinheung,新興,일반역,,,36.319651999999998,127.448792,대전교통공사,대전광역시 동구 옥천로 지하 70 (판암동),042-539-3602,2026-06-25
103,대동,S3001,대전 도시철도 1호선,Dae-dong,大洞,일반역,,,36.329532,127.442848,대전교통공사,대전광역시 동구 계족로 지하 176 (대동),042-539-3603,2026-06-25
104,대전,S3001,대전 도시철도 1호선,Daejeon,大田,일반역,,,36.331583000000002,127.43311799999999,대전교통공사,대전광역시 동구 중앙로 지하 218 (중동),042-539-3604,2026-06-25
105,중앙로,S3001,대전 도시철도 1호선,Jungangno,中央路,일반역,,,36.328664000000003,127.425842,대전교통공사,대전광역시 중구 중앙로 지하 145 (은행동),042-539-3605,2026-06-25
106,중구청,S3001,대전 도시철도 1호선,Jung-gu Office,中區廳,일반역,,,36.324831000000003,127.41962700000001,대전교통공사,대전광역시 중구 중앙로 지하 71 (선화동),042-539-3606,2026-06-25
107,서대전네거리,S3001,대전 도시철도 1호선,Seodaejeon negeori,西大田네거리,일반역,,,36.322415999999997,127.41251800000001,대전교통공사,대전광역시 중구 계룡로 지하 889(용두동),042-539-3607,2026-06-25
108,오룡,S3001,대전 도시철도 1호선,Oryong,五龍,일반역,,,36.328581999999997,127.405046,대전교통공사,대전광역시 중구 계룡로 지하 793(오류동),042-539-3608,2026-06-25
109,용문,S3001,대전 도시철도 1호선,Yongmun,龍汶,일반역,,,36.338251999999997,127.393317,대전교통공사,대전광역시 서구 계룡로 지하 644(용문동),042-539-3609,2026-06-25
110,탄방,S3001,대전 도시철도 1호선,Tanbang,炭坊,일반역,,,36.345440000000004,127.384603,대전교통공사,대전광역시 서구 문정로48번길 지하 19(탄방동),042-539-3610,2026-06-25
111,시청,S3001,대전 도시철도 1호선,City Hall,市廳,일반역,,,36.351672999999998,127.38673900000001,대전교통공사,대전광역시 서구 둔산중로 지하 55(둔산동),042-539-3611,2026-06-25
112,정부청사,S3001,대전 도시철도 1호선,Government  Complex Daejeon,政府廳舍,일반역,,,36.357661,127.381047,대전교통공사,대전광역시 서구 한밭대로 지하 744(둔산동),042-539-3612,2026-06-25
113,갈마,S3001,대전 도시철도 1호선,Galma,葛馬,일반역,,,36.357522000000003,127.372632,대전교통공사,대전광역시 서구 한밭대로 지하 666(갈마동),042-539-3613,2026-06-25
114,월평,S3001,대전 도시철도 1호선,Wolpyeong,月坪,일반역,,,36.358271999999999,127.36438200000001,대전교통공사,대전광역시 서구 한밭대로 지하 595(월평동),042-539-3614,2026-06-25
115,갑천,S3001,대전 도시철도 1호선,Gapcheon,甲川,일반역,,,36.354577999999997,127.354467,대전교통공사,대전광역시 서구 갑천도시고속도로 지하 1833(월평동),042-539-3615,2026-06-25
116,유성온천,S3001,대전 도시철도 1호선,Yuseong Spa,儒城溫泉,일반역,,,36.353689000000003,127.34152400000001,대전교통공사,대전광역시 유성구 계룡로 지하 97(봉명동),042-539-3616,2026-06-25
117,구암,S3001,대전 도시철도 1호선,Guam,九岩,일반역,,,36.356605000000002,127.33083000000001,대전교통공사,대전광역시 유성구 유성대로 703(구암동),042-539-3617,2026-06-25
118,현충원,S3001,대전 도시철도 1호선,National  Cemetery,顯忠院,일반역,,,36.359020999999998,127.32152499999999,대전교통공사,대전광역시 유성구 현충원로 지하 455(구암동),042-539-3618,2026-06-25
119,월드컵경기장,S3001,대전 도시철도 1호선,World Cup  Stadium,월드컵競技場,일반역,,,36.366824999999999,127.317859,대전교통공사,대전광역시 유성구 한밭대로 지하 155(노은동),042-539-3619,2026-06-25
120,노은,S3001,대전 도시철도 1호선,Noeun,老隱,일반역,,,36.37415,127.317835,대전교통공사,대전광역시 유성구 노은로 지하 161(지족동),042-539-3620,2026-06-25
121,지족,S3001,대전 도시철도 1호선,Jijok,智足,일반역,,,36.384106000000003,127.319501,대전교통공사,대전광역시 유성구 노은로 273(지족동),042-539-3621,2026-06-25
122,반석,S3001,대전 도시철도 1호선,Banseok,盤石,일반역,,,36.392128,127.314581,대전교통공사,대전광역시 유성구 북유성대로 지하 303(반석동),042-539-3622,2026-06-25
