철도운영기관명,선명,역명,상하행구분,출입구번호,상세위치,시작층,종료층
광주교통공사,1호선,상무,하행,4,(1F) 4번 출입구 세정아울렛 메인 게이트 앞,지상(1),지하(1)
광주교통공사,1호선,상무,상행,4,(B1) 4번 출입구 화장실 옆,지하(1),지상(1)
광주교통공사,1호선,상무,상행,,(B2) 운천역 방향 승강장 2-1 출입문 앞,지하(2),지하(1)
광주교통공사,1호선,상무,상행,,(B2) 운천역 방향 승강장 4-3 출입문 앞,지하(2),지하(1)
광주교통공사,1호선,상무,상행,,(B2) 김대중컨벤션센터(마륵)역 방향 승강장 3-4 출입문 앞,지하(2),지하(1)
광주교통공사,1호선,상무,상행,,(B2) 김대중컨벤션센터(마륵)역 방향 승강장 1-2 출입문 앞,지하(2),지하(1)
광주교통공사,1호선,소태,하행,,(B1) 1번 출입구 시외버스 정류소 방향 역무실 앞,지하(1),지하(2)
광주교통공사,1호선,소태,상행,,(B2) 녹동역 방향 승강장 말단,지하(2),지하(1)
광주교통공사,1호선,소태,하행,,(B2) 녹동역 방향 승강장 1-1 출입문 앞,지하(2),지하(3)
광주교통공사,1호선,소태,하행,,(B2) 녹동역 방향 승강장 4-4 출입문 앞,지하(2),지하(3)
광주교통공사,1호선,소태,상행,,(B3) 4번 출입구 방향 연결통로,지하(3),지하(2)
광주교통공사,1호선,소태,상행,,(B3) 2번 출입구 방향 연결통로,지하(3),지하(2)
광주교통공사,1호선,송정공원,상행,1,(B1) 1번출입구 송정치안센터 방향,지하(1),지상(.5)
광주교통공사,1호선,송정공원,상행,2,(B1) 3번출입구 광산생활문화센터 방향,지하(1),지상(.5)
광주교통공사,1호선,송정공원,하행,,(B1) 개찰구 내 역무실 옆,지하(1),지하(2)
광주교통공사,1호선,송정공원,하행,,(B1) 개찰구 내 역무실 옆,지하(1),지하(2)
광주교통공사,1호선,송정공원,상행,,(B2) 광주송정역 방향 승강장 4-4 출입문 앞,지하(2),지하(1)
광주교통공사,1호선,송정공원,상행,,(B2) 광주송정역 방향 승강장 1-4 출입문 앞,지하(2),지하(1)
광주교통공사,1호선,양동시장,하행,1,(1F) 1번 출입구 앞,지상(1),지하(1)
광주교통공사,1호선,양동시장,상행,1,(B1) 1번 출입구와 2번 출입구 사이 물품 보관함 옆,지하(1),지상(1)
광주교통공사,1호선,양동시장,하행,2,(1F) 2번 출입구 앞,지상(1),지하(1)
광주교통공사,1호선,양동시장,상행,2,(B1) 1번 출입구와 2번 출입구 사이 물품 보관함 옆,지하(1),지상(1)
광주교통공사,1호선,양동시장,하행,,(B1) 역무실 출입문 앞,지하(1),지하(2)
광주교통공사,1호선,양동시장,상행,,(B2) 금남로5가역 방향 승강장 내려가는 계단 옆,지하(2),지하(1)
광주교통공사,1호선,양동시장,하행,,(B2) 금남로5가역 방향 승강장 내려가는 계단 옆,지하(2),지하(3)
광주교통공사,1호선,양동시장,상행,,(B3) 금남로5가역 방향 승강장 1-3 출입문 앞,지하(3),지하(2)
광주교통공사,1호선,양동시장,하행,,(B2) 돌고개역 방향 승강장 내려가는 계단,지하(2),지하(3)
광주교통공사,1호선,양동시장,상행,,(B3) 돌고개역 방향 승강장 4-2 출입문 앞,지하(3),지하(2)
광주교통공사,1호선,평동,상행,"1,2,3",(1F) 개찰구 내 계단 맞은편 ,지상(1),지상(2)
광주교통공사,1호선,평동,하행,"1,2,3",(2F) 옥동기지 방향 승강장 1-2 출입문 앞,지상(2),지상(1)
광주교통공사,1호선,학동증심사입구,상행,,(B2) 소태역 방향 승강장 1-3 출입문 앞,지하(2),지하(1)
광주교통공사,1호선,학동증심사입구,하행,,(B1) 4번 출입구 자전거 보관소 옆,지하(1),지하(2)
광주교통공사,1호선,학동증심사입구,하행,,(B1) 4번 출입구 역무실 옆,지하(1),지하(2)
광주교통공사,1호선,화정,상행,,(B2) 대합실 표 사는 곳 앞,지하(2),지하(1)
광주교통공사,1호선,화정,하행,,(B1) 2번 출입구 방향 물품보관소 앞,지하(1),지하(2)
광주교통공사,1호선,공항,하행,2,(1F) 2번 출입구  광주공항 방향,지상(1),지하(1)
광주교통공사,1호선,공항,상행,2,(B1) 2번 출입구 광주공항 방향,지하(1),지상(1)
광주교통공사,1호선,공항,상행,5,(B1) 5번 출입구 송정동초등학고 방향,지하(1),지상(.5)
광주교통공사,1호선,공항,하행,,(B1) 개찰구 내 표사는 곳 옆,지하(1),지하(2)
광주교통공사,1호선,공항,하행,,(B1) 개찰구 내 표사는 곳 옆,지하(1),지하(2)
광주교통공사,1호선,공항,상행,,(B2) 송정공원 방향 승강장 4-2 출입구 앞,지하(2),지하(1)
광주교통공사,1호선,공항,상행,,(B2) 송정공원 방향 승강장 1-3 출입구 앞,지하(2),지하(1)
광주교통공사,1호선,광주송정역,하행,5,(1F) 5번출입구 헌혈의 집 근처,지상(1),지하(1)
광주교통공사,1호선,광주송정역,상행,5,(B1) 5번출입구 헌혈의 집 방향,지하(1),지상(1)
광주교통공사,1호선,광주송정역,하행,4,(1F)  4번출입구 광주송정역 KTX·SRT 역사 앞,지상(1),지하(1)
광주교통공사,1호선,광주송정역,상행,4,(B1) 4번출입구 광주송정역 KTX·SRT 역사 방향,지하(1),지상(1)
광주교통공사,1호선,광주송정역,상행,2,(B1) 2번출입구 송광중학교 방향,지하(1),지상(.5)
광주교통공사,1호선,광주송정역,하행,,(B1) 대합실 내 '국창 임방울 선생 전시관' 옆,지하(1),지하(2)
광주교통공사,1호선,광주송정역,하행,,(B1) 대합실 내 '국창 임방울 선생 전시관' 옆,지하(1),지하(2)
광주교통공사,1호선,광주송정역,상행,,(B2) 도산역 방향 승강장 4-1 출입문 앞,지하(2),지하(1)
광주교통공사,1호선,광주송정역,상행,,(B2) 도산역 방향 승강장 1-4 출입문 앞,지하(2),지하(1)
광주교통공사,1호선,금남로4가,하행,,(B1) 1 4번 출입구 방향 연지꼰지 상점 앞,지하(1),지하(3)
광주교통공사,1호선,금남로4가,상행,,(B3) 1 4번 출입구 방향 화장실 앞,지하(3),지하(1)
광주교통공사,1호선,금남로4가,하행,,(B1) 2 3번 출입구 방향 수유실 앞,지하(1),지하(3)
광주교통공사,1호선,금남로4가,상행,,(B3) 2 3번 출입구 방향 역무실 앞,지하(3),지하(1)
광주교통공사,1호선,금남로4가,하행,,(B3) 화장실 옆 개찰구 내 계단 옆,지하(3),지하(4)
광주교통공사,1호선,금남로4가,상행,,(B4) 문화전당역 방향 승강장 1-1 출입문 앞,지하(4),지하(3)
광주교통공사,1호선,금남로4가,하행,,(B3) 역무실 앞 개찰구 내 엘리베이터 앞,지하(3),지하(4)
광주교통공사,1호선,금남로4가,상행,,(B4) 문화전당역 방향 승강장 4-4 출입문 앞,지하(4),지하(3)
광주교통공사,1호선,금남로5가,상행,,(B3) 금남로4가역 방향 선두부 승강장 말단,지하(3),지하(2)
광주교통공사,1호선,금남로5가,상행,,(B3) 금남로4가역 방향 후미부 승강장 말단,지하(3),지하(2)
광주교통공사,1호선,금남로5가,상행,,(B3) 금남로5가역 방향 후미부 승강장 말단,지하(3),지하(2)
광주교통공사,1호선,금남로5가,상행,,(B3) 금남로5가역 방향 선두부 승강장 말단,지하(3),지하(2)
광주교통공사,1호선,김대중컨벤션센터,하행,5,(1F)5번 출입구 문형철내과의원 앞,지상(1),지하(1)
광주교통공사,1호선,김대중컨벤션센터,상행,5,(B1) 5번출입구 김대중컨벤션센터 방향,지하(1),지상(1)
광주교통공사,1호선,김대중컨벤션센터,상행,2,(B1) 2번출입구 서창교차로 방면,지하(1),지상(.5)
광주교통공사,1호선,김대중컨벤션센터,상행,4,(B1) 4번출입구 화장실 옆 마륵마을 방향,지하(1),지상(.5)
광주교통공사,1호선,김대중컨벤션센터,상행,,(B2) 상무역 방향 승강장 1-4 출입구 앞,지하(2),지하(1)
광주교통공사,1호선,김대중컨벤션센터,상행,,(B2) 상무역 방향 승강장 4-3 출입구 앞,지하(2),지하(1)
광주교통공사,1호선,김대중컨벤션센터,상행,,(B2) 공항역 방향 승강장 4-1 출입구 앞,지하(2),지하(1)
광주교통공사,1호선,김대중컨벤션센터,상행,,(B2) 공항역 방향 승강장 1-2 출입구 앞,지하(2),지하(1)
광주교통공사,1호선,남광주,상행,3,(B1) 3번 출입구 방향 광주지하철 예술무대 옆,지하(1),지상(.5)
광주교통공사,1호선,남광주,상행,5,(B1) 5번 출입구 조선대학교병원 방향,지하(1),지상(.5)
광주교통공사,1호선,남광주,상행,,(B2) 학동증심사입구역 방향 승강장 1-1출입문 앞,지하(2),지하(1)
광주교통공사,1호선,남광주,상행,,(B2) 학동증심사입구역 방향 승강장 3-3출입문 앞,지하(2),지하(1)
광주교통공사,1호선,남광주,하행,,(B1) 개찰구 내 METRO SANDWICH&COFFEE 뒤,지하(1),지하(2)
광주교통공사,1호선,남광주,하행,,(B1) 4번 출입구 방향 역무실 뒤,지하(1),지하(2)
광주교통공사,1호선,농성,상행,,(B2) 돌고개역 방향 승강장 1-1 출입문 앞,지하(2),지하(1)
광주교통공사,1호선,농성,상행,,(B2) 돌고개역 방향 승강장 3-4 출입문 앞,지하(2),지하(1)
광주교통공사,1호선,농성,상행,,(B2) 화정역 방향 승강장 4-4 출입문 앞,지하(2),지하(1)
광주교통공사,1호선,농성,상행,,(B2) 화정역 방향 승강장 2-1 출입문 앞,지하(2),지하(1)
광주교통공사,1호선,도산,상행,1,(B1) 1번출구 송정초등학교 방향,지하(1),지상(.5)
광주교통공사,1호선,도산,상행,4,(B1) 4번 출입구 광주송정역 방향 표사는 곳 옆,지하(1),지상(.5)
광주교통공사,1호선,도산,상행,,(B2) 1 2 3번 출입구 방향 연결통로,지하(2),지하(1)
광주교통공사,1호선,도산,하행,,(B1) 평동역 방향 승강장 3-1 출입구 앞,지하(1),지하(2)
광주교통공사,1호선,돌고개,하행,,(B1) 1 2번 출입구 방향 종합안내도 앞,지하(1),지하(2)
광주교통공사,1호선,돌고개,상행,,(B2) 대합실 표 사는 곳 앞,지하(2),지하(1)
광주교통공사,1호선,문화전당,하행,,(B1) 6번 출입구 서광여행사 앞,지하(1),지하(2)
광주교통공사,1호선,문화전당,상행,,(B2) 1 2 6번 출입구 방향 역무실 앞,지하(2),지하(1)
광주교통공사,1호선,문화전당,하행,,(B1)  3 4 5번 출입구 방향 역무실 옆,지하(1),지하(2)
