철도운영기관명,선명,역명,출입구번호,상세위치,정원_인원,정원_중량
광주교통공사,1호선,소태,1,(1F) 1번 출입구 옆(B1) 역무실 방향 화장실 앞(B2) 녹동역 방향 승강장안전문 연결통로,15,1000
광주교통공사,1호선,평동,1 2 3 ,(1F) 역무실 옆(F2) 옥동차량기지 방향 승강장안전문 3-2 출입문 앞,15,1000
광주교통공사,1호선,소태,내부,(B2) 3번 출입구 앞(B3) 3번 출입구 방향 연결통로,15,1000
광주교통공사,1호선,학동증심사입구,1,(1F) 금호장례식장 앞(B1) 1번 출입구 앞(B2) 소태역 방향 승강장안전문 4-4 출입문 앞,15,1000
광주교통공사,1호선,학동증심사입구,내부,(B1) 4번 출입구 앞(B2) 남광주역 방향 승강장안전문 1-1 출입문 앞,15,1000
광주교통공사,1호선,남광주,3,(B2) 학동역 방향 승강장 4-4 출입문 앞(B1) 3번 출입구 방향 광주지하철 예술의무대 옆(1F) 3번 출입구 남광주 시장과 학동 아이파크 사이,15,1000
광주교통공사,1호선,남광주,내부,(B2) 문화전당역 방향 승강장 3-2 출입문 앞(B1) 개찰구 내 역무실 옆 에스컬레이터 근처,15,1000
광주교통공사,1호선,남광주,4,(B1) 4번 출입구 방향 광주지하철 예술의무대 옆(1F) 4번 출입구 전남대학교 병원과 조선대학교 병원 사이 라벨르의원 앞,15,1150
광주교통공사,1호선,문화전당,2,(지상) 2번 출입구 옆(B1) 6번 출입구 서광여행사 앞(B2) 1 2 6번 출입구 방향 역무실 앞 ,15,1000
광주교통공사,1호선,문화전당,내부,(B4) 남광주역 방향 승강장 말단(B2) 1 2 6번 출입구 방향개찰구 내 역무실 앞,11,750
광주교통공사,1호선,문화전당,내부,(B1) 3 4번 출입구 방향 발매기 앞(M1) 3 4번 출입구 앞,13,900
광주교통공사,1호선,문화전당,내부,(B3) 3 4 5번 출입구 방향 에스컬레이터 앞(B1) 3 4 5번 출입구 방향 개찰 구 내 에스컬레이터 옆,15,1000
광주교통공사,1호선,문화전당,내부,(B4) 금남로4가역 방향 승강장 말단(B3) 3 4 5번 출입구 방향 5?18 기념홍보관 옆,11,750
광주교통공사,1호선,금남로4가,1 2,(B3) 역무실과 화장실 사이(B2) 스마트 팜 관계자 출입용(B1) 솔로몬 의류 수선점과 화장실 사이(지상) 1  2번 출입구 사이  로머스파크 오피스텔 입구 앞,15,1000
광주교통공사,1호선,금남로4가,내부,(B4) 문화전당역 방향 승강장 3-2 출입문 앞(B3) 역무실 앞 개찰구 옆,15,1000
광주교통공사,1호선,금남로5가,3,(B2) 3번 출입구 앞(1) 3번 출입구 앞  교보생명 건물 앞,9,600
광주교통공사,1호선,금남로5가,내부,(B3) 금남로4가역 방향 승강장 A-3 출입문 앞(B2F) 대합실 만남의 광장 앞,15,1000
광주교통공사,1호선,금남로5가,내부,(B3) 양동시장역 방향 승강장 4-3 출입문 앞(B2F) 대합실 화장실 앞,15,1000
광주교통공사,1호선,양동시장,내부,(B1) 금남로5가역 방향 대합실 끝(B3) 금남로5가역 방향 승강장 2-4 출입문 앞,15,1000
광주교통공사,1호선,양동시장,내부,(B1) 돌고개역 방향 대합실 끝(B3) 돌고개역 방향 승강장 3-1 출입문 앞,15,1000
광주교통공사,1호선,돌고개,2,(1F) 2번 출구 옆  상생한방병원 앞(B2) 양동시장역 방향 대합실 표 내는 곳 앞,9,600
광주교통공사,1호선,돌고개,내부,(B2) 대합실 표 내는 곳 내 계단 옆(B3) 양동시장역 방향 승강장 2-4 출입문 앞,15,1000
광주교통공사,1호선,돌고개,내부,(B2) 대합실 표 내는 곳 내 계단 옆(B3) 농성역 방향 승강장 3-1 출입문 앞,15,1000
광주교통공사,1호선,농성,7,(1F) 돌고개역 방향 7번 출구 옆  라페스타 건물 뒤(B1) 돌고개역 방향 7번출구 및 화장실 앞,15,1000
광주교통공사,1호선,농성,4~ 5 ,(1F) 화정역 방향 4번출구와 5번 출구 사이  이상열 치과 앞(B1) 화정역 방향 4번출구와 5번 출구 사이,15,1000
광주교통공사,1호선,농성,내부,(B1) 돌고개역 방향 대합실 표 내는 곳 앞(B2) 돌고개역 방향 승강장 2-3 출입문 앞,15,1000
광주교통공사,1호선,농성,내부,(B1) 화정역 방향 대합실 표 내는 곳 앞(B2) 화정역 방향 승강장 3-2 출입문 앞,15,1000
광주교통공사,1호선,농성,1,(1F) 농성역 1번출입구  공원 중앙(M1) 농성역 썬큰광장 중간층  화장실 앞(B1) 농성역 썬큰광장 1번출입구,15,1000
광주교통공사,1호선,화정,2,(1F) 2번 출구 앞  건강온누리약국 앞 (B2) 표 내는 곳 내 계단 옆(B3) 농성역 방향 승강장 3-2 출입문 앞,15,1000
광주교통공사,1호선,화정,내부,(B2) 표 내는 곳 내 계단 옆(B3) 쌍촌역 방향 승강장 2-3 출입문 앞,15,1000
광주교통공사,1호선,쌍촌,2,(1F) 2번 출입구 앞(B1) 대합실 표내는 곳 내 계단 옆(B2) 화정역 방향 승강장 3-1 출입문 앞,15,1000
광주교통공사,1호선,쌍촌,내부,(B1) 대합실 표 내는 곳 내 계단 옆(B2) 운천역 방향 승강장 2-4 출입문 앞,15,1000
광주교통공사,1호선,운천,1,(B3) 쌍촌역 방향 승강장 2-2 출입문 앞(B2) 대합실 표내는 곳 내 계단 옆(1F) 1번출구 근처  LG베스트샾 건물 앞,15,1000
광주교통공사,1호선,운천,내부,(B3) 상무역 방향 승강장 3-3 출입문 앞(B2) 대합실 표내는 곳 내 계단 옆,15,1000
광주교통공사,1호선,상무,4,(1F) 4번 출입구 세정아울렛 메인게이트 앞(B1) 3 4번 출입구 및 역사 화장실 옆(B2) 김대중컨벤션센터(마륵)역 방향 승강장 4-2 출입문 앞,15,1000
광주교통공사,1호선,상무,내부,(B1) 대합실 1 2번 출입구 및 역무실 방향(B2) 운천역 방향 승강장 3-2 출입문 앞,15,1000
광주교통공사,1호선,상무,1,(1F) 전자랜드 상무점 앞(B1) 운천역 방향 1번 출입구 앞,15,1000
광주교통공사,1호선,김대중컨벤션센터,1 2,(1F) 선일금고 앞 / 1번과 2번 출입구 사이(B1)1번과 2번 출입구 사이,15,1000
광주교통공사,1호선,김대중컨벤션센터,5~ 6 ,(1F) 애플 타워 앞 / 5번과 6번 출입구 사이(B1) 5번과 6번 출입구 사이,15,1000
광주교통공사,1호선,김대중컨벤션센터,3~ 4 ,(1F) 레인메이커 옆 / 3번과 4번 출입구 사이(B1) 3번과 4번 출입구사이,15,1000
광주교통공사,1호선,김대중컨벤션센터,내부,(B1) 표 내는 곳 앞(B2) 상무역 방향 승강장 출입문 2-4 앞,15,1000
광주교통공사,1호선,김대중컨벤션센터,내부,(B1) 표 내는 곳 앞(B2) 공항역 방향 승강장 출입문 2-4 앞,15,1000
광주교통공사,1호선,공항,1 2,(1F) 1번과 2번 출입구 사이(B1)1번 출입구 옆 엘리베이터,15,1000
광주교통공사,1호선,공항,3~ 4 ,(1F) 벤치 옆 / 3번과 4번 출입구 사이(B1) 3번과 4번 출입구 사이,15,1000
광주교통공사,1호선,공항,5~ 6 ,(F1) 애플 타워 앞 / 5번과 6번 출입구 사이(B1) 6번 출입구 옆 엘리베이터,15,1000
광주교통공사,1호선,공항,내부,(B1) 표 내는 곳 앞(B2) 김대중컨벤션센터역 방향 승강장 출입문 2-4 앞,15,1000
광주교통공사,1호선,공항,내부,(B1) 표 내는 곳 앞(B2) 송정공원역 방향 승강장 출입문 2-4 앞,15,1000
광주교통공사,1호선,송정공원,1 2,(1F) 1번과 2번 출입구 사이(B1)2번 출입구 앞  ,15,1000
광주교통공사,1호선,송정공원,3~ 4 ,(1F) 3번과 4번출입구 사이(B1)3번 출입구 앞  ,15,1000
광주교통공사,1호선,송정공원,내부,(B1)표내는곳 내 공항역 방향 승강장 연결계단 앞(B2)공항역 방향 승강장 2-4 출입문 앞,15,1000
광주교통공사,1호선,송정공원,내부,(B1)표내는곳 내 광주송정역 방향 승강장 연결계단 앞(B2)광주송정역 방향 승강장 3-3 출입문 앞,15,1000
광주교통공사,1호선,광주송정역,2,(1F) 은성빌딩 앞 / 2번 출입구 옆(B1) 화장실과 2번 출구 사이 엘리베이터,15,1000
광주교통공사,1호선,광주송정역,3~ 4 ,(1F) 광주송정기차역 및 횡단보도 앞 / 3번과 5번 출입구 사이 / 전광판 앞(B1) 3번과 4번 출입구 사이 엘리베이터,15,1000
광주교통공사,1호선,광주송정역,내부,(B1) 대합실 내 '국창 임방울 선생 전시관' 옆(B2) 광주 송정역 방향 승강장 3-1 출입구 앞,15,1000
광주교통공사,1호선,광주송정역,내부,(B1) 대합실 내 '국창 임방울 선생 전시관' 옆(B2) 도산역 방향 승강장 3-1 출입구 앞,15,1000
광주교통공사,1호선,도산,1 2,(1F) 1번/2번 출입구 사이 엘리베이터  2번 출입구 옆(B1) 1번과 2번 출입구 사이 엘리베이터,15,1000
광주교통공사,1호선,도산,4,(1F) 4번 출입구 뒷편 엘리베이터  4번 출입구 뒤(B1) 표 내는 곳 옆,15,1000
광주교통공사,1호선,도산,3,(1F) 3번 출입구 엘리베이터  3번 출입구 앞(B1) 3번 출입구 옆 엘리베이터 / 무료 이발소 옆,15,1000
광주교통공사,1호선,도산,내부,(B1) 광주송정역 방향 승강장 1-2 출입구 앞(B2) 연결통로,11,750
광주교통공사,1호선,도산,내부,(B1) 평동역 방향 승강장 4-3 출입구 앞(B2) 연결통로,11,750
광주교통공사,1호선,평동,1 2 3 ,(1F) 역무실 앞 개찰구 내(F2) 도산역 방향 승강장안전문 2-4 출입문 앞,15,1000
광주교통공사,1호선,소태,내부,(B2) 2번 출입구 앞(B3) 2번 출입구 방향 연결통로,15,1000
