역번호,역사명,노선번호,노선명,영문역사명,환승역구분,역위도,역경도,역사도로명주소,역사전화번호,데이터기준일자
105,금남로4가,S2901,광주도시철도 1호선,Geumnamno 4(sa)-ga,일반역,35.150976,126.914446,광주광역시 동구 금남로 지하 210(금남로4가),062-604-8450,2022-12-02
111,쌍촌,S2901,광주도시철도 1호선,Ssangchon,일반역,35.151793,126.869519,광주광역시 서구 상무대로 지하 983(쌍촌동),062-604-8510,2022-12-02
118,도산,S2901,광주도시철도 1호선,Dosan,일반역,35.131713,126.787942,광주광역시 광산구 상무대로 지하 125-99(도산동),062-604-8580,2022-12-02
116,송정공원,S2901,광주도시철도 1호선,Songjeong Park,일반역,35.143565,126.799245,광주광역시 광산구 상무대로 지하 314-99(송정동),062-604-8560,2022-12-02
109,농성,S2901,광주도시철도 1호선,Nongseong,일반역,35.153563,126.883973,광주광역시 서구 상무대로 지하 1123(농성동),062-604-8490,2022-12-02
106,금남로5가,S2901,광주도시철도 1호선,Geumnamno 5(o)-ga,일반역,35.15318,126.910933,광주광역시 북구 금남로 지하 138(북동),062-604-8460,2022-12-02
100,녹동,S2901,광주도시철도 1호선,Nokdong,일반역,35.107028,126.933932,광주광역시 동구 녹동길 45(용산동),062-604-8410,2022-12-02
104,문화전당(구도청),S2901,광주도시철도 1호선,Culture Center (Former Provincial office),일반역,35.14661,126.92005,광주광역시 동구 문화전당로 26번길 지하 7(광산동),062-604-8440,2022-12-02
114,김대중컨벤션센터(마륵),S2901,광주도시철도 1호선,Kim Daejung Convention Center (Mareuk),일반역,35.143214,126.841442,광주광역시 서구 상무대로 지하 705(마륵동),062-604-8540,2022-12-02
119,평동,S2901,광주도시철도 1호선,Pyeong-dong,일반역,35.1247,126.769586,광주광역시 광산구 평동로 870(월전동),062-604-8590,2022-12-02
108,돌고개,S2901,광주도시철도 1호선,Dolgogae,일반역,35.152047,126.895637,광주광역시 서구 경열로 지하 87(농성동),062-604-8480,2022-12-02
110,화정,S2901,광주도시철도 1호선,Hwajeong,일반역,35.1525,126.877698,광주광역시 서구 상무대로 지하 1041(화정동),062-604-8500,2022-12-02
101,소태,S2901,광주도시철도 1호선,Sotae,일반역,35.124108,126.932013,광주광역시 동구 남문로 지하 587(소태동),062-604-8410,2022-12-02
112,운천,S2901,광주도시철도 1호선,Uncheon,일반역,35.150486,126.858694,광주광역시 서구 상무대로 지하 883(쌍촌동),062-604-8520,2022-12-02
103,남광주,S2901,광주도시철도 1호선,Namgwangju,일반역,35.1384,126.921807,광주광역시 동구 제봉로 지하 14(학동),062-604-8430,2022-12-02
107,양동시장,S2901,광주도시철도 1호선,Yangdong Market,일반역,35.154176,126.904489,광주광역시 서구 경열로 지하 152(양동),062-604-8470,2022-12-02
117,광주송정역,S2901,광주도시철도 1호선,GwangjuSongjeong Station,일반역,35.137529,126.791488,광주광역시 광산구 상무대로 지하 201-99(송정동),062-604-8570,2022-12-02
115,공항,S2901,광주도시철도 1호선,Airport,일반역,35.144179,126.81153,광주광역시 광산구 상무대로 지하 416-99(신촌동),062-604-8550,2022-12-02
113,상무,S2901,광주도시철도 1호선,Sangmu,일반역,35.146784,126.848641,광주광역시 서구 상무대로 지하 777(마륵동),062-604-8530,2022-12-02
102,학동증심사입구,S2901,광주도시철도 1호선,Hak-dong·Jeungsimsa,일반역,35.133023,126.928382,광주광역시 동구 남문로 지하 700(학동),062-604-8420,2022-12-02
