호선,역명,장비종류,호기,승강기번호,운행구간,설치위치
1,검단호수공원역,ES,1,3816-260,지하1층↔지하2층,(B1) 종착역 승강장 3-4 출입문 앞
1,검단호수공원역,ES,2,3816-261,지하1층↔지하2층,(B1) 표 내는 곳 옆
1,검단호수공원역,ES,3,3816-262,지하1층↔지하2층,(B1) 수방자재창고 옆
1,검단호수공원역,ES,4,3816-263,지하1층↔지하2층,(B1) 엘리베이터 2호기 옆
1,검단호수공원역,ES,5,3816-264,지하1층↔지하2층,(B1) 신검단중앙역 방향 승강장 6-1 출입문 앞
1,검단호수공원역,ES,6,3816-265,지하1층↔지하2층,(B1) 인터폰 게이트 옆
1,검단호수공원역,ES,7,3816-275,대합실↔외부,(B1) 1번 출입구
1,검단호수공원역,ES,8,3816-276,대합실↔외부,(B1) 1번 출입구
1,검단호수공원역,ES,9,3816-277,대합실↔외부,(B1) 2번 출입구
1,검단호수공원역,ES,10,3816-281,대합실↔외부,(B1) 3번 출입구
1,검단호수공원역,ES,11,3816-282,대합실↔외부,(B1) 3번 출입구
1,검단호수공원역,ES,12,3816-283,대합실↔외부,(B1) 4번 출입구
1,신검단중앙역,ES,1,3816-271,지하1층↔지하2층,(B3) 검단호수공원역 방향 승강장 3-1 출입문 앞
1,신검단중앙역,ES,2,3816-266,지하1층↔지하2층,(B3) 검단호수공원역 방향 승강장 5-4 출입문 앞
1,신검단중앙역,ES,3,3816-267,지하1층↔지하2층,"(B2) 표 내는 곳 옆, 에스컬레이터 2호기 옆"
1,신검단중앙역,ES,4,3816-268,지하1층↔지하2층,(B3) 아라역 방향 승강장 4-1 출입문 앞
1,신검단중앙역,ES,5,3816-269,지하1층↔지하2층,"(B2) 표 내는 곳 옆, 에스컬레이터 4호기 옆"
1,신검단중앙역,ES,6,3816-270,지하1층↔지하2층,(B3) 아라역 방향 승강장 6-4 출입문 앞
1,신검단중앙역,ES,7,3816-272,대합실↔외부,(B2) 1번 출입구
1,신검단중앙역,ES,8,3816-273,대합실↔외부,(B2) 2번 출입구
1,신검단중앙역,ES,9,3816-274,대합실↔외부,(1F) 2번 출입구
1,신검단중앙역,ES,10,3816-278,대합실↔외부,(B2) 3번 출입구
1,신검단중앙역,ES,11,3816-279,대합실↔외부,(B2) 4번 출입구
1,신검단중앙역,ES,12,3816-280,대합실↔외부,(1F) 4번 출입구
1,아라역,ES,1,3816-259,지하1층↔지하2층,(B2) 신검단중앙역 방향 승강장 3-1 출입문 앞
1,아라역,ES,2,3816-254,지하1층↔지하2층,(B2) 신검단중앙역 방향 승강장 5-4 출입문 앞
1,아라역,ES,3,3816-255,지하1층↔지하2층,(B2) 신검단중앙역 방향 승강장 5-4 출입문 앞
1,아라역,ES,4,3816-256,지하1층↔지하2층,(B2) 계양역 방향 승강장 4-1 출입문 앞
1,아라역,ES,5,3816-257,지하1층↔지하2층,(B2) 계양역 방향 승강장 4-1 출입문 앞
1,아라역,ES,6,3816-258,지하1층↔지하2층,(B2) 계양역 방향 승강장 6-4 출입문 앞
1,아라역,ES,7,3816-284,지하1층↔지하2층,(B1) 1번 출입구
1,아라역,ES,8,3816-285,대합실↔외부,(B1) 1번 출입구
