역번호,역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자
3107,검단호수공원,S2801,인천지하철 1호선,Geomdan Lake Park,黔丹湖水公園,일반역,,,37.60256,126.688338,인천교통공사,인천광역시 서구 불로동 608-16,032-451-3157,2025-06-30
3108,신검단중앙,S2801,인천지하철 1호선,Singeomdanjungang,新黔丹中央,일반역,,,37.603052,126.698429,인천교통공사,인천광역시 서구 원당로652,032-567-0311,2025-06-30
3109,아라,S2801,인천지하철 1호선,Ara(Northern District Court Prosecutors' Office),아라(北部法院檢察廳),일반역,,,37.594118,126.71301,인천교통공사,인천 서구 당하동 1238,032-567-0310,2025-06-30
3110,계양,S2801,인천지하철 1호선,Gyeyang,桂陽,환승역,S2801+I28A1,공항철도,37.571539,126.736319,인천교통공사,인천광역시 계양구 다남로 24,032-710-9105,2025-06-30
3111,귤현,S2801,인천지하철 1호선,Gyulhyeon,橘峴,일반역,,,37.566362,126.742498,인천교통공사,인천광역시 계양구 장제로 1136,032-515-9104,2025-06-30
3112,박촌,S2801,인천지하철 1호선,Bakchon,朴村,일반역,,,37.553525,126.744946,인천교통공사,인천광역시 계양구 장제로 992,032-519-3122,2025-06-30
3113,임학,S2801,인천지하철 1호선,Imhak,林鶴,일반역,,,37.545058,126.738642,인천교통공사,인천광역시 계양구 장제로 875,032-541-3113,2025-06-30
3114,계산,S2801,인천지하철 1호선,Gyesan,桂山,일반역,,,37.543243,126.728436,인천교통공사,인천광역시 계양구 경명대로 1089,032-546-3151,2025-06-30
3115,경인교대입구,S2801,인천지하철 1호선,Gyeongin Nat'l Univ of Education,京仁敎大入口,일반역,,,37.538272,126.722603,인천교통공사,인천광역시 계양구 계양대로 162,032-553-3394,2025-06-30
3116,작전,S2801,인천지하철 1호선,Jakjeon,鵲田,일반역,,,37.530271,126.722548,인천교통공사,인천광역시 계양구 게양대로 73,032-543-3116,2025-06-30
3117,갈산,S2801,인천지하철 1호선,Galsan,葛山,일반역,,,37.517124,126.721566,인천교통공사,인천광역시 부평구 부평대로 286,032-511-4245,2025-06-30
3118,부평구청,S2801,인천지하철 1호선,Bupyeong-gu Office,富平區廳,환승역,S2801+S1107,7호선,37.508768,126.720547,인천교통공사,인천광역시 부평구 부평대로 189,032-513-9103,2025-06-30
3119,부평시장,S2801,인천지하철 1호선,Bupyeong Market,富平市場,일반역, ,,37.498517,126.722282,인천교통공사,인천광역시 부평구 부평대로 69,032-512-3119,2025-06-30
3120,부평,S2801,인천지하철 1호선,Bupyeong,富平,환승역,S2801+S1101,경인선,37.490541,126.723437,인천교통공사,인천광역시 부평구 광장로 15,032-515-9103,2025-06-30
3121,동수,S2801,인천지하철 1호선,Dongsu,東樹,일반역,,,37.485409,126.718464,인천교통공사,인천광역시 부평구 경인로 877,032-516-3121,2025-06-30
3122,부평삼거리,S2801,인천지하철 1호선,Bupyeongsamgeori,富平三거리,일반역,,,37.478267,126.710494,인천교통공사,인천광역시 부평구 경인로 765,032-516-3122,2025-06-30
3123,간석오거리,S2801,인천지하철 1호선,Ganseogogeori,間石五거리,일반역,,,37.466921,126.707861,인천교통공사,인천광역시 남동구 경인로 674,032-434-3123,2025-06-30
