시발역,종착역,순번,검단오류,왕길,검단사거리,마전,완정,독정,검암,검바위,아시아드,서구청,가정,가정중앙,석남,서부여성,인천가좌,가재울,주안국가,주안,시민공원,석바위,인천시청,석천사거리,모래내시장,만수,남동구청,인천대공원,운연
인천시청,운연,1,,,,,,,,,,,,,,,,,,,,,05:30:03,05:31:44,05:33:21,05:35:04,05:37:46,05:40:06,05:42:18
서부여성,운연,2,,,,,,,,,,,,,,05:30:04,05:31:58,05:34:24,05:36:39,05:38:30,05:40:44,05:42:24,05:44:03,05:45:44,05:47:21,05:49:04,05:51:46,05:54:06,05:56:18
검암,운연,3,,,,,,,05:30:07,05:31:58,05:34:22,05:35:59,05:38:45,05:40:49,05:42:47,05:44:24,05:46:18,05:48:44,05:50:59,05:52:50,05:55:04,05:56:44,05:58:23,06:00:04,06:01:41,06:03:24,06:06:06,06:08:26,06:10:38
검단오류,운연,4,05:30:05,05:32:07,05:34:44,05:36:52,05:38:39,05:40:16,05:42:47,05:44:38,05:47:02,05:48:39,05:51:25,05:53:29,05:55:27,05:57:04,05:58:58,06:01:24,06:03:39,06:05:30,06:07:44,06:09:24,06:11:03,06:12:44,06:14:21,06:16:04,06:18:46,06:21:06,06:23:18
검단오류,운연,5,05:39:25,05:41:27,05:44:04,05:46:12,05:47:59,05:49:36,05:52:07,05:53:58,05:56:22,05:57:59,06:00:45,06:02:49,06:04:47,06:06:24,06:08:18,06:10:44,06:12:59,06:14:50,06:17:04,06:18:44,06:20:23,06:22:04,06:23:41,06:25:24,06:28:06,06:30:26,06:32:38
검단오류,운연,6,05:49:19,05:51:21,05:53:58,05:56:06,05:57:53,05:59:30,06:02:01,06:03:52,06:06:16,06:07:53,06:10:39,06:12:43,06:14:41,06:16:18,06:18:12,06:20:38,06:22:53,06:24:44,06:26:58,06:28:38,06:30:17,06:31:58,06:33:35,06:35:18,06:38:00,06:40:20,06:42:32
검단오류,운연,7,06:01:05,06:03:07,06:05:44,06:07:52,06:09:39,06:11:16,06:13:47,06:15:38,06:18:02,06:19:39,06:22:25,06:24:29,06:26:27,06:28:04,06:29:58,06:32:24,06:34:39,06:36:30,06:38:44,06:40:24,06:42:03,06:43:44,06:45:21,06:47:04,06:49:46,06:52:06,06:54:18
검단오류,운연,8,06:06:58,06:09:00,06:11:37,06:13:45,06:15:32,06:17:09,06:19:40,06:21:31,06:23:55,06:25:32,06:28:18,06:30:22,06:32:20,06:33:57,06:35:51,06:38:17,06:40:32,06:42:23,06:44:37,06:46:17,06:47:56,06:49:37,06:51:14,06:52:57,06:55:39,06:57:59,07:00:11
검단오류,운연,9,06:13:05,06:15:07,06:17:44,06:19:52,06:21:39,06:23:16,06:25:47,06:27:38,06:30:02,06:31:39,06:34:25,06:36:29,06:38:27,06:40:04,06:41:58,06:44:24,06:46:39,06:48:30,06:50:44,06:52:24,06:54:03,06:55:44,06:57:21,06:59:04,07:01:46,07:04:06,07:06:18
검단오류,운연,10,06:18:44,06:20:46,06:23:23,06:25:31,06:27:18,06:28:55,06:31:26,06:33:17,06:35:41,06:37:18,06:40:04,06:42:08,06:44:06,06:45:43,06:47:37,06:50:03,06:52:18,06:54:09,06:56:23,06:58:03,06:59:42,07:01:23,07:03:00,07:04:43,07:07:25,07:09:45,07:11:57
