SVG파일명,철도운영기관코드,선명,역명,상행경로값,하행경로값,역SVG순서,철도운영구분코드
subway_a01_lA1,AR(공항철도주식회사),공항철도,서울역,,M 3015.1 1417.2 h -190.3,1,04(도시철도)
area01,AR(공항철도주식회사),공항철도,홍대입구,M 538.9 389.9 l -60.9 0 v 0 c -11 0 -20 -9 -20 -20 h 0 v -14.4,M 457.9 355.6 v -60 l 0 0 h 0 c 0 -11 -9 -20 -20 -20 h -28.5,3,04(도시철도)
subway_a01_lA1,AR(공항철도주식회사),공항철도,홍대입구,M 2824.8 1417.2 h -190.3,M 2634.5 1417.2 h -190.3,3,04(도시철도)
subway_a01_lA1,AR(공항철도주식회사),공항철도,디지털미디어시티,M 2634.5 1417.2 h -190.3,M 2444.2 1417.2 h -190.3,4,04(도시철도)
subway_a01_lA1,AR(공항철도주식회사),공항철도,김포공항,M 2444.2 1417.2 h -190.3,M 2253.9 1417.2 h -190.3,5,04(도시철도)
subway_a01_lA1,AR(공항철도주식회사),공항철도,계양,M 2253.9 1417.2 h -190.3,M 2063.7 1417.2 h -190.3,6,04(도시철도)
subway_a01_lA1,AR(공항철도주식회사),공항철도,검암,M 2063.7 1417.2 h -190.3,M 1873.4 1417.2 h -190.3,7,04(도시철도)
subway_a01_lA1,AR(공항철도주식회사),공항철도,청라국제도시,M 1873.4 1417.2 h -190.3,M 1683.1 1417.2 h -190.3,8,04(도시철도)
subway_a01_lA1,AR(공항철도주식회사),공항철도,영종,M 1683.1 1417.2 h -190.3,M 1492.8 1417.2 h -190.3,9,04(도시철도)
subway_a01_lA1,AR(공항철도주식회사),공항철도,운서,M 1492.8 1417.2 h -190.3,M 1302.5 1417.2 h -190.3,10,04(도시철도)
subway_a01_lA1,AR(공항철도주식회사),공항철도,공항화물청사,M 1302.5 1417.2 h -190.3,M 1112.2 1417.2 H 922,11,04(도시철도)
subway_a01_lA1,AR(공항철도주식회사),공항철도,인천공항1터미널,M 1112.2 1417.2 H 922,,12,04(도시철도)
area01,AR(공항철도주식회사),공항철도,검암,M 172.4 275.6 h -3.5 c -11 0 -20 9 -20 20 v 0 v 130.8,M 148.9 426.4 v 58.2,7,04(도시철도)
area01,AR(공항철도주식회사),공항철도,계양,M 271.9 275.6 h -99.5,M 172.4 275.6 h -3.5 c -11 0 -20 9 -20 20 v 0 v 130.8,6,04(도시철도)
area01,AR(공항철도주식회사),공항철도,공덕,M 574.9 366.1 v 3.9 c 0 11 -9 20 -20 20 h -16.1,M 538.9 389.9 l -60.9 0 v 0 c -11 0 -20 -9 -20 -20 h 0 v -14.4,2,04(도시철도)
